Title,Price,Star Rating,Genre,Publication Year,Page Count
A Light in the Attic,51.77,3,Manga,2019,400
Tipping the Velvet,53.74,1,Travel,2020,400
Soumission,50.1,1,History,2015,130
Sharp Objects,47.82,4,Fantasy,2013,200
Sapiens: A Brief History of Humankind,54.23,5,Fantasy,1990,200
The Requiem Red,22.65,1,Psychology,2016,200
The Dirty Little Secrets of Getting Your Dream Job,33.34,4,Travel,2020,300
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,3,Cookbooks,1998,400
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,4,Biography,2019,250
The Black Maria,52.15,1,Mystery,2013,400
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,2,Horror,2022,300
Shakespeare's Sonnets,20.66,4,Ebooks,2010,400
Set Me Free,17.46,5,Science Fiction,2010,130
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,5,Historical Figures,1998,250
Rip it Up and Start Again,35.02,5,Children,2016,250
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,3,Fantasy,2017,300
Olio,23.88,1,Crime,1861,400
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,1,Humor and ComedyHumor and Comedy,2010,130
Libertarianism for Beginners,51.33,2,Paranormal,1962,200
It's Only the Himalayas,45.17,2,Travel,2010,400
In Her Wake,12.84,1,Romance,1982,400
How Music Works,37.32,2,Poetry,2015,400
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52,3,Crime,2021,140
Chase Me (Paris Nights #2),25.27,5,Fantasy,2013,250
Black Dust,34.53,5,Philosophy,2022,250
Birdsong: A Story in Pictures,54.64,3,Fantasy,1962,130
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.5,3,Comics,2016,400
Aladdin and His Wonderful Lamp,53.13,3,Ebooks,1982,200
Worlds Elsewhere: Journeys Around Shakespeares Globe,40.3,5,Suspense,2010,400
Wall and Piece,44.18,4,Art,2016,400
The Four Agreements: A Practical Guide to Personal Freedom,17.66,5,Travel,1998,300
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,3,Fantasy,2016,400
The Elephant Tree,23.82,5,Crime,1998,300
The Bear and the Piano,36.89,1,Children,2015,300
Sophie's World,15.94,5,Fiction,2022,250
Penny Maybe,33.29,3,Children,2020,250
Maude (1883-1993):She Grew Up with the country,18.02,2,Business,2016,300
"In a Dark, Dark Wood",19.63,1,Mystery,2018,200
Behind Closed Doors,52.22,4,Travel,1962,400
You can't bury them all: Poems,33.63,2,Religion,1998,400
Slow States of Collapse: Poems,57.31,3,Aircraft,2019,140
Reasons to Stay Alive,26.41,2,Travel,2017,200
Private Paris (Private #10),47.61,5,Philosophy,2022,400
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,5,Cookbooks,2013,250
Without Borders (Wanderlove #1),45.07,2,Paranormal,2015,300
When We Collided,31.77,1,Horror,2010,400
"We Love You, Charlie Freeman",50.27,5,Romance,2017,400
